"AGEFSTM" "EDUCM" "INCOMED" "TAU"
"269" 20 16 36179.25620319 -0.161423266361559
"270" 20 17 36179.25620319 -0.242304742690818
"271" 20 7 38215.45455057 -0.226118641964052
"272" 20 9 38215.45455057 -0.141489129820942
"273" 20 10 38215.45455057 -0.168878049675949
"274" 20 11 38215.45455057 -0.103864706800752
"275" 20 12 38215.45455057 -0.153835950668328
"276" 20 13 38215.45455057 -0.0953774561717173
"277" 20 14 38215.45455057 -0.137261775468355
"278" 20 15 38215.45455057 -0.183695000078569
"279" 20 16 38215.45455057 -0.140274717695138
"280" 20 17 38215.45455057 -0.212533558196447
"281" 20 7 41259.25620387 -0.235167167405576
"282" 20 9 41259.25620387 -0.150853418690892
"283" 20 10 41259.25620387 -0.17623151343337
"284" 20 11 41259.25620387 -0.110591480872597
"285" 20 12 41259.25620387 -0.169913475414562
"286" 20 13 41259.25620387 -0.10864843833898
"287" 20 14 41259.25620387 -0.145455630543365
"288" 20 15 41259.25620387 -0.185686543715841
"289" 20 16 41259.25620387 -0.149949864496737
"290" 20 17 41259.25620387 -0.225573119513447
"291" 20 7 42602.72727843 -0.264068783747804
"292" 20 9 42602.72727843 -0.188576157633559
"293" 20 10 42602.72727843 -0.226691944878468
"294" 20 11 42602.72727843 -0.165132087215167
"295" 20 12 42602.72727843 -0.228577462234477
"296" 20 13 42602.72727843 -0.170573477107405
"297" 20 14 42602.72727843 -0.205158848684422
"298" 20 15 42602.72727843 -0.243583562795397
"299" 20 16 42602.72727843 -0.206108790291892
"300" 20 17 42602.72727843 -0.2811158137789
"301" 20 7 46192.31405577 -0.242879842544659
"302" 20 9 46192.31405577 -0.166851304315442
"303" 20 10 46192.31405577 -0.200603752538241
"304" 20 11 46192.31405577 -0.135028691227577
"305" 20 12 46192.31405577 -0.199093192503443
"306" 20 13 46192.31405577 -0.153212918124166
"307" 20 14 46192.31405577 -0.195782502711614
"308" 20 15 46192.31405577 -0.225869232132461
"309" 20 16 46192.31405577 -0.195149458399849
"310" 20 17 46192.31405577 -0.265791445244488
"311" 20 7 49341.07438677 -0.212621377751383
"312" 20 9 49341.07438677 -0.131228310641983
"313" 20 10 49341.07438677 -0.159915987274469
"314" 20 11 49341.07438677 -0.107533733571273
"315" 20 12 49341.07438677 -0.161840845836002
"316" 20 13 49341.07438677 -0.127316286445181
"317" 20 14 49341.07438677 -0.166471925242154
"318" 20 15 49341.07438677 -0.193758008284904
"319" 20 16 49341.07438677 -0.166889898136131
"320" 20 17 49341.07438677 -0.233178986455761
"321" 20 7 52489.83471777 -0.216926838272918
"322" 20 9 52489.83471777 -0.143104334976203
"323" 20 10 52489.83471777 -0.187300575174416
"324" 20 11 52489.83471777 -0.131647606510292
"325" 20 12 52489.83471777 -0.193261576103026
"326" 20 13 52489.83471777 -0.158692637648422
"327" 20 14 52489.83471777 -0.188720564695974
"328" 20 15 52489.83471777 -0.211030415905053
"329" 20 16 52489.83471777 -0.182273945784977
"330" 20 17 52489.83471777 -0.248986381854894
"331" 20 7 58787.35537977 -0.182456762403828
"332" 20 9 58787.35537977 -0.119281789689737
"333" 20 10 58787.35537977 -0.154440726428825
"334" 20 11 58787.35537977 -0.112150857101812
"335" 20 12 58787.35537977 -0.18232327654066
"336" 20 13 58787.35537977 -0.16339545649857
"337" 20 14 58787.35537977 -0.190264840687595
"338" 20 15 58787.35537977 -0.196986162296461
"339" 20 16 58787.35537977 -0.170797384077714
"340" 20 17 58787.35537977 -0.225147001142716
"341" 20 7 67184.04959577 -0.122694418776138
"342" 20 9 67184.04959577 -0.0427466410932627
"343" 20 10 67184.04959577 -0.0641359530097229
"344" 20 11 67184.04959577 -0.0264204673027866
"345" 20 12 67184.04959577 -0.0762101565199793
"346" 20 13 67184.04959577 -0.0730709163080345
"347" 20 14 67184.04959577 -0.0985340180139307
"348" 20 15 67184.04959577 -0.0989818422254922
"349" 20 16 67184.04959577 -0.0824347510598475
"350" 20 17 67184.04959577 -0.133146801256605
"351" 20 7 96572.47935177 -0.0594425233016649
"352" 20 9 96572.47935177 0.0361185831301602
"353" 20 10 96572.47935177 0.0311030107617276
"354" 20 11 96572.47935177 0.0688716147945397
"355" 20 12 96572.47935177 0.00971314754016115
"356" 20 13 96572.47935177 0.0212527708642639
"357" 20 14 96572.47935177 -0.00237256941612794
"358" 20 15 96572.47935177 -0.0049009013031654
"359" 20 16 96572.47935177 0.0163686067643791
"360" 20 17 96572.47935177 -0.0376155666534176
