"outcome.correct.ans.per.second","outcome.num.correct.ans","outcome.response.time","treatment","live.paycheck.by.paycheck","caloric.crunch","liquidity.constrained","financial.hardship","current.income","pay.day.amount.fraction.of.income","age","male","married","divorced","widowed","white","black","hispanic","working","unemployed","disabled","retired","household.size","household.head","children.in.household","metropolitan.area","household.income","education"
0.453112881348281,45,99.3130009151322,0,0,1,0,1,804,1,59,0,0,0,1,0,0,1,0,0,1,0,3,1,0,1,15000,1
0.591120589254194,47,79.5100032961109,0,1,1,1,1,1500,1,56,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,20000,4
0.493980956035336,46,93.1209987712755,0,1,1,1,1,1000,0.5,48,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,35000,2
0.640757780617421,46,71.7899983292834,1,1,1,1,1,1025,0.53,27,0,0,0,0,0,1,0,1,0,0,0,3,1,1,1,20000,2
0.34036243089703,45,132.212006717081,1,0,1,0,0,2062,1,67,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,15000,2
0.475650741240462,47,98.8119978062633,1,0,0,1,0,1200,0.5,30,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,30000,1
0.65993895588477,48,72.7339999737508,0,0,0,0,0,2440,1,31,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,40000,4
0.586374126397394,48,81.8590006603903,0,1,1,1,0,1500,0.5,56,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,35000,3
0.0783339502020721,7,89.3609984169398,1,1,1,0,1,1774,1,84,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,25000,3
0.270076842155745,40,148.105997095942,1,0,0,0,0,2881,0.57,80,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,40000,3
0.615729851681578,45,73.0839992199559,0,1,1,1,1,690,1,68,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,10000,4
0.520092929214166,45,86.5229990109513,0,1,1,1,1,1489,0.07,81,0,0,0,1,1,0,0,0,0,0,1,3,1,1,1,20000,1
0.533655076127084,46,86.1979995277804,0,0,1,0,0,600,0.5,57,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,10000,2
0.353776388952071,45,127.198991807496,1,1,1,1,0,1381,1,77,1,0,0,1,1,0,0,0,0,0,1,2,1,0,1,25000,4
0.22494731879136,35,155.591985661597,0,0,0,0,0,1852,0.34,79,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,35000,3
